"Category","Priority","Observation","Recommendation","LinkText","LinkUrl"
"Automation","High","SDDC 'CHA-POC-AVS' has no resource lock.","Ensure that resource lock is configured for SDDC to prevent accidental deletion.","","https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-platform-automation-and-devops"
"Automation","Medium","SDDC 'CHA-POC-AVS' has no deployments using ARM or Bicep scripts.","Automate SDDC changes/additions using consistent deployments.","","https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-platform-automation-and-devops"
"BCDR","Medium","SRM is not provisioned for SDDC 'CHA-POC-AVS'.","Provision SRM on SDDC for disaster recovery.","","https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-business-continuity-and-disaster-recovery"
"BCDR","Medium","ER Gateway for SDDC 'CHA-POC-AVS' has low utilization, which is an indicator for missing backup for guest VMs in SDDC.","Configure backup for guest VMs in SDDC.","","https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-business-continuity-and-disaster-recovery"
"BCDR","Medium","ER Gateway for SDDC 'CHA-POC-AVS' has low utilization, which is an indicator for missing backup for guest VMs in SDDC.","Configure backup for guest VMs in SDDC.","","https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-business-continuity-and-disaster-recovery"
"HCX","High","SDDC 'CHA-POC-AVS' has no HCX Network Extension High Availability configured for at least one HCX Service Mesh.","Ensure that HCX Network Extension High Availability is cofnigured on all HCX Service Meshes.","","https://learn.microsoft.com/azure/azure-vmware/configure-hcx-network-extension-high-availability"
"Identity","Low","SDDC 'CHA-POC-AVS' has 'test.com' as an external identity source.","Ensure BaseDNGroups and BaseDNUsers are configured with only those groups/users who need access to SDDC.","","https://docs.microsoft.com/en-us/azure/azure-vmware/overview"
"Identity","Low","SDDC 'CHA-POC-AVS' has 'ldaps://poc-dc-01.test.com:636' as an LDAPS identity source.","Ensure you check and renew LDAPS certificate before expiry.","","https://learn.microsoft.com/azure/azure-vmware/configure-identity-source-vcenter"
"Identity","High","Tenant doesn't have licenses needed for PIM.","The tenant needs to have Microsoft Entra ID P2 or Microsoft Entra ID Governance license.","","https://learn.microsoft.com/entra/id-governance/privileged-identity-management/groups-assign-member-owner"
"Identity","High","vCenter Server password has not been rotated in the last 90 days for SDDC 'CHA-POC-AVS'.","Rotate the vCenter Server password.","","https://learn.microsoft.com/azure/azure-vmware/rotate-cloudadmin-credentials?tabs=azure-portal#reset-your-vcenter-server-credentials"
"Identity","High","NSX-T Manager password has not been rotated in the last 90 days for SDDC 'CHA-POC-AVS'.","Rotate the NSX-T Manager password.","","https://learn.microsoft.com/azure/azure-vmware/rotate-cloudadmin-credentials?tabs=azure-portal#reset-your-nsx-manager-credentials"
"Management","High","AVS Diagnostic setting is not configured for SDDC 'CHA-POC-AVS'.","Configure AVS Diagnostic setting for SDDC for monitoring and troubleshooting.","","https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-management-and-monitoring"
"Management","High","SDDC 'CHA-POC-AVS' has no Service Health Alert configured.","Ensure that Service Health Alert is configured for SDDC for monitoring.","","https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-management-and-monitoring"
"Networking","Medium","SDDC 'CHA-POC-AVS' is using AVS Managed SNAT for internet connectivity.","AVS Managed SNAT is not a preferred solution for outbound to internet traffic for production workloads.","","https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/network-design-guide-internet-outbound-connectivity"
"Networking","High","SDDC 'CHA-POC-AVS' is conected to a non zone-redundant ER gateway.","Connect AVS SDDC to zone-redundant ER gateway for resiliency.","","https://learn.microsoft.com/azure/vpn-gateway/about-zone-redundant-vnet-gateways"
"Networking","Medium","SDDC 'CHA-POC-AVS' is conected to a non-FastPath enabled ER gateway.","Connect AVS SDDC to FastPath enabled ER gateway to improve data path performance.","","https://learn.microsoft.com/azure/expressroute/about-fastpath"
"Networking","High","SDDC 'CHA-POC-AVS' has multiple active ExpressRoute GlobalReach connection.","Use AS PATH Prepend when advertising routes from on-premises to avoid asymmetric routing.","","https://learn.microsoft.com/azure/azure-vmware/architecture-network-design-considerations"
"Networking","Low","SDDC 'CHA-POC-AVS' is using custom DNS Zone.","Test DNS resolution is responding within acceptable timeframe.","","https://learn.microsoft.com/azure/azure-vmware/configure-dns-azure-vmware-solution"
"Networking","Low","SDDC 'CHA-POC-AVS' is using custom DHCP.","Ensure DHCP is configured on AVS segments.","","https://learn.microsoft.com/azure/azure-vmware/configure-dhcp-azure-vmware-solution"
"Networking","High","SDDC 'CHA-POC-AVS' is conected to a non zone-redundant ER gateway.","Connect AVS SDDC to zone-redundant ER gateway for resiliency.","","https://learn.microsoft.com/azure/vpn-gateway/about-zone-redundant-vnet-gateways"
"Networking","Medium","SDDC 'CHA-POC-AVS' is conected to a non-FastPath enabled ER gateway.","Connect AVS SDDC to FastPath enabled ER gateway to improve data path performance.","","https://learn.microsoft.com/azure/expressroute/about-fastpath"
"Networking","Low","SDDC 'CHA-POC-AVS' has multiple redemptions of ER Auth Key.","Ensure multiple Auth Key redemptions do not cause IP address conflict.","","https://learn.microsoft.com/azure/azure-vmware/tutorial-configure-networking"
"Security","High","SDDC 'CHA-POC-AVS' has no alerts configured for critical metrics.","Ensure that alerts are configured for critical metrics on SDDC for security.","","https://azure.github.io/azure-monitor-baseline-alerts/patterns/specialized/avs/"
"Security","High","SDDC 'CHA-POC-AVS' is connected to an Azure VNet which has no DDoS protection plan.","Ensure that DDoS protection plan is enabled for the VNet connected with SDDC for security.","","https://learn.microsoft.com/azure/ddos-protection/ddos-protection-overview"
"Security","High","SDDC 'CHA-POC-AVS' has no alerts configured for critical metrics.","Ensure that alerts are configured for critical metrics on SDDC for security.","","https://azure.github.io/azure-monitor-baseline-alerts/patterns/specialized/avs/"
"Security","High","SDDC 'CHA-POC-AVS' has multiple Azure role assignments.","Ensure that access control is limited to under 3 for direct and inherited scope for SDDC for security.","","https://learn.microsoft.com/azure/role-based-access-control/best-practices"
"Security","High","SDDC 'CHA-POC-AVS' has no vSAN encryption.","Ensure that vSAN encryption is enabled on SDDC for security.","","https://learn.microsoft.com/azure/azure-vmware/configure-customer-managed-keys?tabs=azure-portal"
"Security","Medium","Azure subscription containing SDDC 'CHA-POC-AVS' has no PIM logs.","Ensure PIM logs are enabled on Azure subscription containing SDDC.","","https://learn.microsoft.com/entra/id-governance/privileged-identity-management/groups-audit"
"Security","High","SDDC 'CHA-POC-AVS' is connected to an Azure VNet which has no DDoS protection plan.","Ensure that DDoS protection plan is enabled for the VNet connected with SDDC for security.","","https://learn.microsoft.com/azure/ddos-protection/ddos-protection-overview"
"Security","Medium","Azure Arc is not provisioned for SDDC 'CHA-POC-AVS'.","Provision Azure Arc on SDDC for security patch and update management.","","https://learn.microsoft.com/azure/azure-vmware/deploy-arc-for-azure-vmware-solution?tabs=windows"
"Security","High","SDDC 'CHA-POC-AVS' has no Entra ID diagnostics.","Ensure Entra ID diagnostics are enabled for SDDC for long term storage requirements.","","https://learn.microsoft.com/entra/identity/monitoring-health/howto-configure-diagnostic-settings"
